count,start_year,start_month,start_day,start_hour,end_year,end_month,end_day,end_hour
177, 1992, 05,29,00, 1992, 06,04,00
178, 1992, 06,03,00, 1992, 06,09,00
179, 1992, 06,08,00, 1992, 06,14,00
180, 1992, 06,13,00, 1992, 06,19,00
181, 1992, 06,18,00, 1992, 06,24,00
182, 1992, 06,23,00, 1992, 06,29,00
183, 1992, 06,28,00, 1992, 07,04,00
184, 1992, 07,03,00, 1992, 07,09,00
185, 1992, 07,08,00, 1992, 07,14,00
186, 1992, 07,13,00, 1992, 07,19,00
187, 1992, 07,18,00, 1992, 07,24,00
188, 1992, 07,23,00, 1992, 07,29,00
189, 1992, 07,28,00, 1992, 08,03,00
190, 1992, 08,02,00, 1992, 08,08,00
191, 1992, 08,07,00, 1992, 08,13,00
192, 1992, 08,12,00, 1992, 08,18,00
193, 1992, 08,17,00, 1992, 08,23,00
194, 1992, 08,22,00, 1992, 08,28,00
195, 1992, 08,27,00, 1992, 09,02,00
196, 1992, 09,01,00, 1992, 09,07,00
197, 1992, 09,06,00, 1992, 09,12,00
198, 1992, 09,11,00, 1992, 09,17,00
199, 1992, 09,16,00, 1992, 09,22,00
200, 1992, 09,21,00, 1992, 09,27,00
201, 1992, 09,26,00, 1992, 10,02,00
202, 1992, 10,01,00, 1992, 10,07,00
203, 1992, 10,06,00, 1992, 10,12,00
204, 1992, 10,11,00, 1992, 10,17,00
205, 1992, 10,16,00, 1992, 10,22,00
206, 1992, 10,21,00, 1992, 10,27,00
207, 1992, 10,26,00, 1992, 11,01,00
208, 1992, 10,31,00, 1992, 11,06,00
209, 1992, 11,05,00, 1992, 11,11,00
210, 1992, 11,10,00, 1992, 11,16,00
211, 1992, 11,15,00, 1992, 11,21,00
212, 1992, 11,20,00, 1992, 11,26,00
213, 1992, 11,25,00, 1992, 12,01,00
214, 1992, 11,30,00, 1992, 12,06,00
215, 1992, 12,05,00, 1992, 12,11,00
216, 1992, 12,10,00, 1992, 12,16,00
217, 1992, 12,15,00, 1992, 12,21,00
218, 1992, 12,20,00, 1992, 12,26,00
219, 1992, 12,25,00, 1992, 12,31,00
220, 1992, 12,30,00, 1993, 01,05,00
221, 1993, 01,04,00, 1993, 01,10,00
222, 1993, 01,09,00, 1993, 01,15,00
223, 1993, 01,14,00, 1993, 01,20,00
224, 1993, 01,19,00, 1993, 01,25,00
225, 1993, 01,24,00, 1993, 01,30,00
226, 1993, 01,29,00, 1993, 02,04,00
227, 1993, 02,03,00, 1993, 02,09,00
228, 1993, 02,08,00, 1993, 02,14,00
229, 1993, 02,13,00, 1993, 02,19,00
230, 1993, 02,18,00, 1993, 02,24,00
231, 1993, 02,23,00, 1993, 03,01,00
232, 1993, 02,28,00, 1993, 03,06,00
233, 1993, 03,05,00, 1993, 03,11,00
234, 1993, 03,10,00, 1993, 03,16,00
235, 1993, 03,15,00, 1993, 03,21,00
236, 1993, 03,20,00, 1993, 03,26,00
237, 1993, 03,25,00, 1993, 03,31,00
238, 1993, 03,30,00, 1993, 04,05,00
239, 1993, 04,04,00, 1993, 04,10,00
240, 1993, 04,09,00, 1993, 04,15,00
241, 1993, 04,14,00, 1993, 04,20,00
242, 1993, 04,19,00, 1993, 04,25,00
243, 1993, 04,24,00, 1993, 04,30,00
244, 1993, 04,29,00, 1993, 05,05,00
245, 1993, 05,04,00, 1993, 05,10,00
246, 1993, 05,09,00, 1993, 05,15,00
247, 1993, 05,14,00, 1993, 05,20,00
248, 1993, 05,19,00, 1993, 05,25,00
249, 1993, 05,24,00, 1993, 05,30,00
250, 1993, 05,29,00, 1993, 06,04,00
251, 1993, 06,03,00, 1993, 06,09,00
252, 1993, 06,08,00, 1993, 06,14,00
253, 1993, 06,13,00, 1993, 06,19,00
254, 1993, 06,18,00, 1993, 06,24,00
255, 1993, 06,23,00, 1993, 06,29,00
256, 1993, 06,28,00, 1993, 07,04,00
257, 1993, 07,03,00, 1993, 07,09,00
258, 1993, 07,08,00, 1993, 07,14,00
259, 1993, 07,13,00, 1993, 07,19,00
260, 1993, 07,18,00, 1993, 07,24,00
261, 1993, 07,23,00, 1993, 07,29,00
262, 1993, 07,28,00, 1993, 08,03,00
263, 1993, 08,02,00, 1993, 08,08,00
264, 1993, 08,07,00, 1993, 08,13,00
265, 1993, 08,12,00, 1993, 08,18,00
266, 1993, 08,17,00, 1993, 08,23,00
267, 1993, 08,22,00, 1993, 08,28,00
268, 1993, 08,27,00, 1993, 09,02,00
269, 1993, 09,01,00, 1993, 09,07,00
270, 1993, 09,06,00, 1993, 09,12,00
271, 1993, 09,11,00, 1993, 09,17,00
272, 1993, 09,16,00, 1993, 09,22,00
273, 1993, 09,21,00, 1993, 09,27,00
274, 1993, 09,26,00, 1993, 10,02,00
275, 1993, 10,01,00, 1993, 10,07,00
276, 1993, 10,06,00, 1993, 10,12,00
277, 1993, 10,11,00, 1993, 10,17,00
278, 1993, 10,16,00, 1993, 10,22,00
279, 1993, 10,21,00, 1993, 10,27,00
280, 1993, 10,26,00, 1993, 11,01,00
281, 1993, 10,31,00, 1993, 11,06,00
282, 1993, 11,05,00, 1993, 11,11,00
283, 1993, 11,10,00, 1993, 11,16,00
284, 1993, 11,15,00, 1993, 11,21,00
285, 1993, 11,20,00, 1993, 11,26,00
286, 1993, 11,25,00, 1993, 12,01,00
287, 1993, 11,30,00, 1993, 12,06,00
